"term","year","district","school","map.grade","subject","rit","se","percentile","goal.fall.fall","goal.spring.spring","goal.fall.spring","goal.fall.winter","hash.id"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",204,3.2,10,,,,,"e4470df5f8643abe0cd9fc55287acde1b60f0f63c5a7188afec8fa717d34b29d"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",230,3.2,,,,,,"5d9ec3e05271c4181e7be99aa6566095619d6424c0d3367f66f2314a1ec3fa19"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",140,3,40,18,,15,9,"71918d28a9ba74121c9bde3a4bebf72e547bc9cdf7a31eb361c8bac54eefa4a0"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",141,2.9,41,19,,16,8,"71918d28a9ba74121c9bde3a4bebf72e547bc9cdf7a31eb361c8bac54eefa4a0"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",163,3.3,51,15,,16,9,"4044e6d9b274b19aa9d63d1ee07c89d20d55deb14b0fb02da6844e5f7dec5125"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",142,3,44,19,,16,8,"1e67806c33828ea7e9a4ff1c0747d3345a58ba5661c201420869812675658d69"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",164,3.2,1,,,,,"63c2bb018bef27a4bf4a6f8f5d3d3445b1b273c0d7aba36b0b329beb1fb7b938"
"fall","2014-2015","ReNEW Charter Schools","RCAA",0,"reading",142,3,48,18,,15,8,"112f61406fa5d03441222c88342d7418302da81ab3e4d34861f56c1841feb3aa"
"fall","2014-2015","ReNEW Charter Schools","RCAA",0,"math",135,3,23,21,,17,8,"112f61406fa5d03441222c88342d7418302da81ab3e4d34861f56c1841feb3aa"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",237,3.2,,,,,,"c22d0dc416ad10d97a9fe16693b2ac812a499b6dc3cfa057adc09a6ac2b966cc"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",205,3.3,,,,,,"2b7f928e53f65abf0c6a9151b24196eebe6eb45d0dd3ca501c28ae9aa9a51e2c"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",192,4.1,1,,,,,"89284530cdf362fc2926274115eecdfedf17be9edfd4dc733f8ea8f95885d8dd"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",219,3.2,,,,,,"b54393d4379c71ea60a462356a5dc981f3d5cbe79654aaa2c8e9150d5f85979b"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",151,3,19,18,,18,10,"a5502b6f26e2f19870d282f7b6402901692cf735b35f4fbe2c7dafc6604da694"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",153,3,28,15,,17,10,"a5502b6f26e2f19870d282f7b6402901692cf735b35f4fbe2c7dafc6604da694"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",181,3.3,,,,,,"d1f3067032cd2e421b71a88d6c065fade3ecd3618b420edad13850667752e43f"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",173,3.1,77,13,,14,9,"d0f7e090d4386f55ecfd856fd1422a1ebbca6c150446ffc69e464243c97a2c71"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",141,3.1,44,18,,15,8,"67cda7312f9ec8497ce1a20d2e90178324b20e68c53fe5dcfe598fefe2936530"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",139,3.1,34,20,,17,8,"67cda7312f9ec8497ce1a20d2e90178324b20e68c53fe5dcfe598fefe2936530"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"reading",137,3,30,19,,16,9,"49ffe10a7360db3d3dcd0e1650f9588dd06c19a9438837874893117eb60a23f8"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"math",135,3,23,21,,17,8,"49ffe10a7360db3d3dcd0e1650f9588dd06c19a9438837874893117eb60a23f8"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"math",130,3,12,22,,18,9,"2c4ca697f0f95f9dc97a613d8b96d709101459eca44b3e24e271cff821662f41"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"reading",121,3.3,2,21,,17,9,"2c4ca697f0f95f9dc97a613d8b96d709101459eca44b3e24e271cff821662f41"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",130,3.1,12,19,,16,9,"04351bc2b91bd4db25b8e463688c6c01960ba04d9ae9914e8511c6fd72fc4b01"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",124,3.3,4,23,,19,9,"04351bc2b91bd4db25b8e463688c6c01960ba04d9ae9914e8511c6fd72fc4b01"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",222,3.1,,,,,,"e07fb6bf9fc4e2eddd8e911e840ddf36262000e13e588308e59d24573fb461cf"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",211,3.3,21,,,,,"08c1548c8d20c5e6b4987769f607623bfbf51567878a6172668a752d8fbbd131"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",218,3.2,38,,,,,"2ca5b246a9a6b5d2e15562b7f1090690e0eaae63ade9fe5ad45686898ffa6f34"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",141,3,44,18,,15,8,"a0cc00b1f028b33fba86720cd0256a91151363c618d4b4c7530d1fed14df0891"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",135,3,23,21,,17,8,"a0cc00b1f028b33fba86720cd0256a91151363c618d4b4c7530d1fed14df0891"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"math",150,3,1,19,,17,9,"24caa7939c8a211f2819f20f6a73b138c43d5155b10b6f683dc1a326ae9141a2"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"reading",160,3,15,17,,16,9,"24caa7939c8a211f2819f20f6a73b138c43d5155b10b6f683dc1a326ae9141a2"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",138,3,31,20,,17,8,"3687349704d23a670e1e8aafdde770569f0d42adbf1852cbe04b8ba3c3e13e9c"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",144,3,55,18,,15,8,"3687349704d23a670e1e8aafdde770569f0d42adbf1852cbe04b8ba3c3e13e9c"
"fall","2014-2015","ReNEW Charter Schools","RCAA",0,"math",131,3.1,14,21,,18,9,"ca3b8de13f76b2f26bf35d158a0d2d6847b5dc55044edc0d9de6d930d8d8060c"
"fall","2014-2015","ReNEW Charter Schools","RCAA",0,"reading",139,3,37,18,,15,9,"ca3b8de13f76b2f26bf35d158a0d2d6847b5dc55044edc0d9de6d930d8d8060c"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",210,3.2,,,,,,"04e8508b40185e5176befbe18eac09b1f0dce909390b4f8691803f0bb2851122"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",204,3.2,10,2,,2,2,"8280d78559e9b323f35d778f9031deeb27d2978a93997d7ecfe1b9b6575c2139"
"fall","2014-2015","ReNEW Charter Schools","SCH",1,"reading",137,3,3,15,,16,10,"e2f0b4931d9857f896215d6979a32d9e9a57550b1607762fbc406a7853d448be"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",226,3.2,,,,,,"11dc49673316552bbb2dd1a889037feb963ac679d39c431e24e908b9775a7371"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",122,3.4,1,24,,21,12,"6429504307194f037ba867394ea4a83fa3b3e964c27aff223a84233886411637"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",122,3.2,1,24,,20,11,"6429504307194f037ba867394ea4a83fa3b3e964c27aff223a84233886411637"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",229,3.2,65,2,,2,2,"ec710823dc42dd0756f8ec43a4ccddb32d65295f252d8b8e6167297b59a9dabc"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",157,3.1,33,17,,17,10,"5917405c201dbf87fa0a8876db9023c294623e7cc9779b3e7ed5192bb8b7a0d5"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",162,3.1,55,15,,17,10,"5917405c201dbf87fa0a8876db9023c294623e7cc9779b3e7ed5192bb8b7a0d5"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",120,3.2,2,24,,20,9,"8941c5b3a3ca105267e84fa937ca0cbe2289c8ba235ab8c12113762fa4d11981"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",132,3.1,16,19,,16,9,"8941c5b3a3ca105267e84fa937ca0cbe2289c8ba235ab8c12113762fa4d11981"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",178,3,49,14,,13,7,"60024474edddfba8b4971eafa72214e1a405646ca68d71c5e69d1ad3edb288a0"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",181,3,63,13,,13,7,"60024474edddfba8b4971eafa72214e1a405646ca68d71c5e69d1ad3edb288a0"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",158,3.1,36,17,,17,10,"278b5d1660d9f703219c5ed103113741bb099e93a4a7069c8586e376698b18cb"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",153,3.1,28,15,,17,10,"278b5d1660d9f703219c5ed103113741bb099e93a4a7069c8586e376698b18cb"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",185,3.2,1,,,,,"5ba66161cc444904a43d14e57e8611a3d9cb7282acbed1a38a2ec1154063e4aa"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"reading",116,3.5,1,21,,17,10,"d4773b476450026450903cd7f2d3cc9dbee1a8a47922486fee3d8e5f135c82ff"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"math",122,3.1,3,23,,19,9,"d4773b476450026450903cd7f2d3cc9dbee1a8a47922486fee3d8e5f135c82ff"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",140,3.2,37,20,,16,8,"e41de33225318b3befe851b96f3395934697657e05503ad50567c9dd72a701ff"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",149,3.1,72,17,,14,8,"e41de33225318b3befe851b96f3395934697657e05503ad50567c9dd72a701ff"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",207,3.2,14,,,,,"7d3081058f23beead1536b2c9d0dd03068cefe193c9d6570e385da48881ca1e7"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",130,3.1,12,22,,18,9,"dc4ed33864e7515586f6a5be858e9a96268270c1aa73f7e746046f2c54d775fc"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",142,3.2,48,18,,15,8,"dc4ed33864e7515586f6a5be858e9a96268270c1aa73f7e746046f2c54d775fc"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",156,3,10,18,,16,9,"1522315d575a5d0ed4682774f4c85f4a00f4bd3aa424f60fdc9dbfe459306e60"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",166,3,17,16,,15,8,"1522315d575a5d0ed4682774f4c85f4a00f4bd3aa424f60fdc9dbfe459306e60"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",213,3.1,,,,,,"c268e9acbb18d144103128fe706bc0e5eaf42c81e0239f87273589868916944f"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",214,3.2,,,,,,"e7adc1101803aba7e95448be4ae1bc7eb04ec9ea995b97a66729d1da41c80455"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",188,3,78,12,,12,7,"86f8c4a36c9e246323bb4f4001bf5ca6d95e52cd77cade795fbf3973734f719e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",183,3,64,13,,13,7,"86f8c4a36c9e246323bb4f4001bf5ca6d95e52cd77cade795fbf3973734f719e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",161,3,17,17,,16,9,"6fa776970f0b8d71b283b02e7170ec52f168119de04bdc98640e843f4ac27fe7"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",174,2.9,37,15,,14,8,"6fa776970f0b8d71b283b02e7170ec52f168119de04bdc98640e843f4ac27fe7"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",180,3,56,14,,13,7,"34fab53a297af85f6ccf02780e6fd177f6944610f7372da5dffd5d1a70639451"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",170,3.2,35,15,,14,8,"34fab53a297af85f6ccf02780e6fd177f6944610f7372da5dffd5d1a70639451"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",155,3.1,28,17,,17,10,"9358598a42b513af0923296771b414ac788cb231bbec0b99640020ce5d5362a7"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",161,3,52,15,,17,10,"9358598a42b513af0923296771b414ac788cb231bbec0b99640020ce5d5362a7"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",187,3.4,,,,,,"b4a92a93c01631582f99efe753a6acd17d0027a17cdbac197fcca8a0db5428cd"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",192,3.1,85,11,,12,7,"2e5cb711f6c1bf735e35e9b6364ff8e0260e001337b54201a65b8e727e1ce95e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",197,3.1,93,11,,11,6,"2e5cb711f6c1bf735e35e9b6364ff8e0260e001337b54201a65b8e727e1ce95e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",189,3,80,12,,12,7,"0304a2b5af4da76fdae80bc4786d6888298cb26315e9cf77600dbf75096b033d"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",181,3,63,13,,13,7,"0304a2b5af4da76fdae80bc4786d6888298cb26315e9cf77600dbf75096b033d"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",193,3.1,87,11,,11,6,"6ef80ae61f9827f404d90cf9665c228f5556c273d7a435b0bb0c55cd177a8b16"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",186,3.1,74,12,,12,7,"6ef80ae61f9827f404d90cf9665c228f5556c273d7a435b0bb0c55cd177a8b16"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",186,3,73,13,,12,7,"429808ed76dcf7ed0d0add1ed20b674e53f96f407fe55697640f196227b14c54"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",187,3.1,76,12,,12,7,"429808ed76dcf7ed0d0add1ed20b674e53f96f407fe55697640f196227b14c54"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",173,3.4,34,15,,14,8,"916894474cdb55780b22e24d0f6606cb6a8683c2208d1fccfc19b8e0c6cc10c0"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",167,3.3,28,16,,15,8,"916894474cdb55780b22e24d0f6606cb6a8683c2208d1fccfc19b8e0c6cc10c0"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",213,3.2,25,,,,,"c1f4748167f355782376d3d3b4c4b07422ec775495ba5eef2374bf3588aaf209"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",129,3,10,22,,18,9,"28909b05b71015daed756d2b7babd8ddc1b8123cdc4292dc8c195e15dd330210"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",135,3.3,24,19,,16,9,"28909b05b71015daed756d2b7babd8ddc1b8123cdc4292dc8c195e15dd330210"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",174,3,37,15,,14,8,"0bb42066358bfdba9cf215adc37e731b47a17c18c5dd86e66ff36760698b4d71"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",186,3.1,74,12,,12,7,"0bb42066358bfdba9cf215adc37e731b47a17c18c5dd86e66ff36760698b4d71"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",195,3.1,3,,,,,"2204ea9a58859188e080d1543d8adbc7062a306c2fc0aab0524f3e884ffad7ad"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",135,3,23,21,,17,8,"98553680acaaa3fc19fc31e7cc8ffb5637a2ceffa07ac0235594296d6b0e2225"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",141,3.1,44,18,,15,8,"98553680acaaa3fc19fc31e7cc8ffb5637a2ceffa07ac0235594296d6b0e2225"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"math",175,3,40,15,,14,8,"9afa718aecfa518801016a212be2e6ca43e1872e5d7134ac3f2d945abc883542"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"reading",167,3.2,28,16,,15,8,"9afa718aecfa518801016a212be2e6ca43e1872e5d7134ac3f2d945abc883542"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"reading",168,3.1,30,16,,15,8,"babbf68ff7869061bba963decd4ff29e995b05433f6e050da3c0a49dfeb25a3d"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"math",167,3,19,16,,15,8,"babbf68ff7869061bba963decd4ff29e995b05433f6e050da3c0a49dfeb25a3d"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",213,3.2,25,2,,2,2,"f0dcac7070fe7c1d3e103178084a708fa1d9e6bd965126576b3585a324828e39"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",195,3.2,3,3,,2,2,"3c449dd5940b2b5c724622359b5112ce33bee4ae18b6fd858f96b2c8b6d3cf43"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",233,3.2,72,,,,,"55e4a4283df3d881b3d6468addf9cc8341af9ba7b6f91ae0da3e0581e9d58d66"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",143,3.1,7,20,,19,11,"3f24f2f3d5de58beb9b6c7ac7405c9df302a5ae0af652e4ff7de7eb78ac7e9bf"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",144,3,10,15,,16,10,"3f24f2f3d5de58beb9b6c7ac7405c9df302a5ae0af652e4ff7de7eb78ac7e9bf"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",192,3.2,2,3,,2,2,"81c4900ecad2300464ad8ba3aca081250f574959174538738e9e0925553c34e4"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",182,3.9,,,,,,"cda2b93ffb530573d98ed5b39503f337efcad846db9f12697680817af3554612"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",173,3.1,77,13,,14,9,"852d1e1fa525f2b6a8206daa13745440bf70a7676e18bef16749f88a6220dbb0"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",167,3,70,15,,17,10,"852d1e1fa525f2b6a8206daa13745440bf70a7676e18bef16749f88a6220dbb0"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",154,3.2,26,18,,17,10,"bd9b9e302a0901ceccaf4aeac867951d942f3ddfe6b18cb51c10e61cdfd8616d"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",157,3,40,15,,17,10,"bd9b9e302a0901ceccaf4aeac867951d942f3ddfe6b18cb51c10e61cdfd8616d"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",195,3.2,3,,,,,"3aa2d8b9303dfd8aba224a6972f5c918d1913030d0a02a79da9d6dbe67efcbe7"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",142,3,48,18,,15,8,"07bb9b4302d1341fcb40a890d6c423448ab39440bdd81fda2e3086f25511a4a7"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",137,3.1,28,20,,17,8,"07bb9b4302d1341fcb40a890d6c423448ab39440bdd81fda2e3086f25511a4a7"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",224,3.2,52,2,,2,2,"a71a3a8935a7374cb2a91b5fbaafa46e1118f29fdde64302891dcd2b1b1d4b67"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",221,3.1,,,,,,"793f341afbd29367bc3ef6f00376a8be2471719d89f2754ffc69db3baf3e8f76"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",183,3,68,13,,13,7,"4693cd02ad7a0283a60dca67cffcf190feb5612b22a681d3af42d614251e5c06"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",181,3.1,59,14,,13,7,"4693cd02ad7a0283a60dca67cffcf190feb5612b22a681d3af42d614251e5c06"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",154,3,31,15,,17,10,"84a33e107decb223441dbe75e48acd42b7bf57f98fb98fcf4501669bbfa51ff9"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",155,3,28,17,,17,10,"84a33e107decb223441dbe75e48acd42b7bf57f98fb98fcf4501669bbfa51ff9"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",182,3.1,65,13,,13,7,"9f3c2461372c448e82d51ce3704127b646260589fa346e7548aab3a99bd71718"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",176,3,43,14,,13,8,"9f3c2461372c448e82d51ce3704127b646260589fa346e7548aab3a99bd71718"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",159,3,46,15,,17,10,"ea6436e26259220f106f94a5abed75c6cfaa37bf81ada129874f9d5fbbc4aac8"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",162,3,48,16,,16,10,"ea6436e26259220f106f94a5abed75c6cfaa37bf81ada129874f9d5fbbc4aac8"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",127,3.1,8,22,,19,9,"bab692768862bb0bd7c5e5c9cf915b7d7d9e1c6e1a70c108dc55d12d1795b82b"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",120,3.1,1,21,,17,9,"bab692768862bb0bd7c5e5c9cf915b7d7d9e1c6e1a70c108dc55d12d1795b82b"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",162,3,48,16,,16,10,"0e3cf796ce84c5d2355728ba905bff48e7b973be4efb64ba01a7c1960609fd62"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",166,3.1,67,15,,17,10,"0e3cf796ce84c5d2355728ba905bff48e7b973be4efb64ba01a7c1960609fd62"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"reading",188,3.2,78,12,,12,7,"243a4f745a8f6dc9779bd71c3fa9519090c94fe8f34989f66d9d6e38c60227db"
"fall","2014-2015","ReNEW Charter Schools","SCH",2,"math",187,3.1,75,12,,12,7,"243a4f745a8f6dc9779bd71c3fa9519090c94fe8f34989f66d9d6e38c60227db"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"math",136,3,25,20,,17,8,"b4a0a16e783eb182fa8297066b6668d51fdd269bf2370d6475337de983364ccd"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",127,3,7,20,,16,9,"b4a0a16e783eb182fa8297066b6668d51fdd269bf2370d6475337de983364ccd"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"math",126,3,6,22,,19,9,"47a0e54a9dff32dc73b8868d221da4a62f8ad242a1df6def8806032635c50ab4"
"fall","2014-2015","ReNEW Charter Schools","DTA",0,"reading",134,3.1,21,19,,16,9,"47a0e54a9dff32dc73b8868d221da4a62f8ad242a1df6def8806032635c50ab4"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",209,3.3,,,,,,"02fa78d590cd3f9e0dc89c61659a073f330c858d6be93d8697ee22e59da373ee"
"fall","2014-2015","ReNEW Charter Schools","RCAA",0,"math",144,3,51,19,,16,8,"9dfe965e6c6848c259490decf2a30dd9145aad6bb994920edbf96974bfd3bdfd"
"fall","2014-2015","ReNEW Charter Schools","RCAA",0,"reading",145,2.9,59,18,,15,8,"9dfe965e6c6848c259490decf2a30dd9145aad6bb994920edbf96974bfd3bdfd"
"fall","2014-2015","ReNEW Charter Schools","SCH",0,"reading",129,3.1,10,20,,16,9,"fc5b9d3501f3ffe790ad5adb5d21163e188985dcda8bc46861a21ae05c73a10e"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",222,3.2,47,2,,2,2,"cc50b8bf3e0771c083cc47c09767650cb01b15ae96dfb136673e0161ab6c42cf"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",212,3.4,23,2,,2,2,"b293f7e12f1e82408b4c27bdae4eed3410d76c4d92c1bc280e9c3b6011a123cb"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",196,3.3,4,3,,2,2,"7652dd14274a07b97a94d055653dd0cb39eaef70cccfb0a5058453081dce53aa"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",167,3.6,1,,,,,"dd416f8b5658171d47b003fb45ea2d591a1b936e57a9e7e7c7d922a4a730ee33"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",135,3,2,22,,21,12,"401631d9780f21614dda48873a31c8c46ffea8075b5501214af7ec3b27d9d57d"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",138,3.1,4,15,,16,10,"401631d9780f21614dda48873a31c8c46ffea8075b5501214af7ec3b27d9d57d"
"fall","2014-2015","ReNEW Charter Schools","AHS",9,"reading",208,3.2,19,3,,2,2,"8d51691a519c3d2a0e88359965dd17d820a396dabf71ade008a3f14f6065f911"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",232,3.2,72,2,,2,2,"a3c1575a3f5d00076145321a25f2a28fb0c68c21caba43c02240b5647988e563"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",226,3.2,,,,,,"75984fcbf8e0ff3f575a9587fd12c2de86c3a349fd8ae9e1db80d655dbf7e33f"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",168,3,30,16,,15,8,"c53b7144bfd1812a713832451f0ea0115aa72835a377bcaad9ddc843d98f911e"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",176,3.1,43,14,,13,8,"c53b7144bfd1812a713832451f0ea0115aa72835a377bcaad9ddc843d98f911e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",159,3.1,7,17,,16,9,"183330f7034597bd5b3dff1e68a9333e1af981b762e0991f66d893dfb2c364ab"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",166,3,26,16,,15,8,"183330f7034597bd5b3dff1e68a9333e1af981b762e0991f66d893dfb2c364ab"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",167,3,19,16,,15,8,"761177a30879d89cd5979200bcf324999b4012067f091a7518be18a7c1462494"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",162,3,18,17,,16,9,"761177a30879d89cd5979200bcf324999b4012067f091a7518be18a7c1462494"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",167,3,28,16,,15,8,"69e5ee41a6296142e00b11e051cb7f2bb25bb7d9da78428a6f4ef8f59a5def63"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",174,3,37,15,,14,8,"69e5ee41a6296142e00b11e051cb7f2bb25bb7d9da78428a6f4ef8f59a5def63"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",143,3.1,9,15,,16,10,"1c3eb687afe6022d0641ae3d54e2785b518142db762a83f3eeacdd5f3179531e"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",144,3,8,20,,19,11,"1c3eb687afe6022d0641ae3d54e2785b518142db762a83f3eeacdd5f3179531e"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",184,3.1,67,13,,12,7,"9cc835b5910cf86aae94ec8f848b3d8ad95aa5b847216b467c924b30f1d81ab9"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",183,3,68,13,,13,7,"9cc835b5910cf86aae94ec8f848b3d8ad95aa5b847216b467c924b30f1d81ab9"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",173,3,34,15,,14,8,"d4ea43d5789c5449ef241f76e5a2b0891354e27d5a59802d3145efde69dca6b8"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",186,3,74,12,,12,7,"d4ea43d5789c5449ef241f76e5a2b0891354e27d5a59802d3145efde69dca6b8"
