"term","year","district","school","map.grade","subject","rit","se","percentile","goal.fall.fall","goal.spring.spring","goal.fall.spring","goal.fall.winter","hash.id"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",166,3,59,15,,15,9,"5ffba4b725c996b947e4583cf79179e089709b2e8665d2e4ac1d7d4cba10a5d1"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",139,3,5,15,,16,10,"5ffba4b725c996b947e4583cf79179e089709b2e8665d2e4ac1d7d4cba10a5d1"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",171,3,29,15,,14,8,"fd72e7b7138beafe4089c86bf9b070547aa73298ee2b6743f8d0e78b27755f79"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",173,3,43,15,,14,8,"fd72e7b7138beafe4089c86bf9b070547aa73298ee2b6743f8d0e78b27755f79"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",155,3,34,15,,17,10,"eeb13accbd19dec34ac07e8d50ceb6b965efc2a95b2a7c0387aee12e4fa6f2b1"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",142,3.1,6,20,,20,11,"eeb13accbd19dec34ac07e8d50ceb6b965efc2a95b2a7c0387aee12e4fa6f2b1"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",170,3,70,14,,15,9,"2a7828f7731fc669e8d2e63d795ca307f05c38b60c49557c992c01c02bf655e8"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",152,3.1,26,15,,17,10,"2a7828f7731fc669e8d2e63d795ca307f05c38b60c49557c992c01c02bf655e8"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",152,3,26,15,,17,10,"ceaab4da43d9050d4b05e0263f8ea52211716eb59861d934b7197bcca42af250"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",148,3.1,14,19,,19,11,"ceaab4da43d9050d4b05e0263f8ea52211716eb59861d934b7197bcca42af250"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",156,3,31,17,,17,10,"7b6e4ceb78b16e989c4a6f5a280ed126d86e620d9f3a70cd34a3e14316013f4a"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",158,3,43,15,,17,10,"7b6e4ceb78b16e989c4a6f5a280ed126d86e620d9f3a70cd34a3e14316013f4a"
"fall","2014-2015","ReNEW Charter Schools","SCH",1,"math",149,3.1,15,19,,18,11,"df27c9032053f8cdfea90fdbcea1332a7730808461357fff1bfaf12e52e9e52a"
"fall","2014-2015","ReNEW Charter Schools","SCH",1,"reading",150,3.1,21,15,,16,10,"df27c9032053f8cdfea90fdbcea1332a7730808461357fff1bfaf12e52e9e52a"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",156,3.1,37,15,,17,10,"1f5dc1882f7bd61b3b2b5c54f4fd45ee03bc4c8b16edbfe176db3b694c62c6b6"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",146,3,11,19,,19,11,"1f5dc1882f7bd61b3b2b5c54f4fd45ee03bc4c8b16edbfe176db3b694c62c6b6"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",136,3.1,3,15,,16,10,"ea86bafcede5010d31c7936570eb06ef5676d0ae853a7e0f529314783a1c5086"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",123,3,1,25,,23,13,"ea86bafcede5010d31c7936570eb06ef5676d0ae853a7e0f529314783a1c5086"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",196,3.2,90,10,,11,6,"34866b599d2753704240f3b025fee7db9fe2528ef32bc8305d9c179634471bb9"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",191,3,84,12,,12,7,"34866b599d2753704240f3b025fee7db9fe2528ef32bc8305d9c179634471bb9"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",171,3,29,15,,14,8,"dc5f733102f58e39f92c3aeb5d560b7cc89f9315436d9db53ec32aeb6a84594d"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",166,3.1,26,16,,15,8,"dc5f733102f58e39f92c3aeb5d560b7cc89f9315436d9db53ec32aeb6a84594d"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",150,3.1,5,19,,17,10,"f4cfbe7e92fcc6ec05af6a0becad3199a483a58fa644182bfdb327ed0e3003ef"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",166,3,67,15,,17,10,"09f6ba52cb2bd51bb4245fd59b546ed68bb591dc19a8bc359a971f85cbf58a56"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",161,3,45,16,,16,10,"09f6ba52cb2bd51bb4245fd59b546ed68bb591dc19a8bc359a971f85cbf58a56"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"reading",138,3,33,18,,15,9,"a033d8f8aa64eebf502fc1ca93d8043a509b5f61a0fefd74d23bcccff1add584"
"fall","2014-2015","ReNEW Charter Schools","STA",0,"math",135,3,23,21,,17,8,"a033d8f8aa64eebf502fc1ca93d8043a509b5f61a0fefd74d23bcccff1add584"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",166,3,67,15,,17,10,"2ad05c401506671616f203c637075bc7dda77b8cc48b324fb97715ebfdaf1cbd"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",162,3.1,48,16,,16,10,"2ad05c401506671616f203c637075bc7dda77b8cc48b324fb97715ebfdaf1cbd"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",130,3.1,1,23,,22,12,"6d178a2255c66cc5ca7ba0359403b025143c4d999e72597f1f81c7d2d99efe83"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",144,3.1,10,15,,16,10,"6d178a2255c66cc5ca7ba0359403b025143c4d999e72597f1f81c7d2d99efe83"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",130,3.2,1,15,,16,10,"da16d3d65dfecab47d5b193e82038e0c59f984a36c92dd3e8d042c90b5a06654"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",133,3.1,1,23,,21,12,"da16d3d65dfecab47d5b193e82038e0c59f984a36c92dd3e8d042c90b5a06654"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",159,3,39,16,,17,10,"1ea9ad56380059a7ff864003db2da8627013783444a74c395c4a4f94035f0a39"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",153,3,28,15,,17,10,"1ea9ad56380059a7ff864003db2da8627013783444a74c395c4a4f94035f0a39"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",168,3.1,73,15,,17,10,"49fcc5e61fdb97262138fd71596e6551e99d929288c6d69925422af718e2e5e5"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",159,3,39,16,,17,10,"49fcc5e61fdb97262138fd71596e6551e99d929288c6d69925422af718e2e5e5"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",165,3,15,16,,15,8,"3caa2a9b3373e88b52deb7a77aa23aabeeb79e759efcb7c291a462d807e3c8ab"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",171,3.1,38,15,,14,8,"3caa2a9b3373e88b52deb7a77aa23aabeeb79e759efcb7c291a462d807e3c8ab"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",151,3,23,15,,16,10,"460eb8a66ebf8b2aa0bb4ffb917943e4e68bc161addceced2cafd5bcf63774a5"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",150,3,21,15,,16,10,"682de18a21b610b9a0e844215023c4f452cdbb34f13ec12d9d0aec6ba388645a"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",149,3,15,19,,18,11,"682de18a21b610b9a0e844215023c4f452cdbb34f13ec12d9d0aec6ba388645a"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",180,3,90,11,,13,8,"a5d148d73b15ad53fa9bdfbc388e2027ef0f6fa627d6861f8a30db12ca1d4187"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",165,3,56,15,,16,9,"3a0af3342780c0a6dc5eb4689780ae4cb454f6f673a809cceaf717751df5868f"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",171,3.1,80,15,,17,10,"3a0af3342780c0a6dc5eb4689780ae4cb454f6f673a809cceaf717751df5868f"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",159,3,14,17,,16,9,"c3a4fe5c8ca280ce4912e2945d395bea80ba5998533c1dc84582067dbe15ffb8"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",171,3,29,15,,14,8,"c3a4fe5c8ca280ce4912e2945d395bea80ba5998533c1dc84582067dbe15ffb8"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",172,3.1,32,15,,14,8,"993c0a2df0e718c39e6363173772809b1d1e0fa81bc5403dd0b42fa98376ae97"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",167,3.1,28,16,,15,8,"993c0a2df0e718c39e6363173772809b1d1e0fa81bc5403dd0b42fa98376ae97"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",163,3.1,12,17,,15,8,"b84f5fb5819cbe7efaf15978cbf1b6c4b83231b0dbe0e32f29acd8ea06e253af"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",156,3.1,10,18,,16,9,"b84f5fb5819cbe7efaf15978cbf1b6c4b83231b0dbe0e32f29acd8ea06e253af"
"fall","2014-2015","ReNEW Charter Schools","SCH",1,"math",168,3,65,14,,15,9,"9aab24b11ed971b11676814bc8dc11fe51f29906a335a6e7d10abf520ef9a4ba"
"fall","2014-2015","ReNEW Charter Schools","SCH",1,"reading",170,3.1,78,15,,17,10,"9aab24b11ed971b11676814bc8dc11fe51f29906a335a6e7d10abf520ef9a4ba"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"reading",153,3,7,18,,17,9,"fd662cd55bb5043bf25e097997c927845306edc128477ad5888d3072637c82d5"
"fall","2014-2015","ReNEW Charter Schools","RCAA",2,"math",131,3.1,1,22,,19,10,"fd662cd55bb5043bf25e097997c927845306edc128477ad5888d3072637c82d5"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",210,3.1,,,,,,"054ad26ac325bb727a8024af5b7f60cc1a5ee8bd38bc7fc41f8e65b0397d8e4f"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",195,3.2,3,,,,,"a667b32ca7a2333402bb08a62f742e53710cab63ee1c310c7b5338c2829bd616"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",194,3.4,,,,,,"0b7bdeafc432771c2a92988dd6780d8140036c7244642c40dd9b17434070f252"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",176,3,83,12,,14,8,"f0860aea519c02b6b3baf20abb288b24771b79568dbbd581a854c2a8a31a0dbb"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",168,3,73,15,,17,10,"f0860aea519c02b6b3baf20abb288b24771b79568dbbd581a854c2a8a31a0dbb"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",154,3,26,18,,17,10,"3ef66598359c2f27b50043cdfcf3817ae740dbcd01a696db4d3a92d22d3cebc1"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",153,3,28,15,,17,10,"3ef66598359c2f27b50043cdfcf3817ae740dbcd01a696db4d3a92d22d3cebc1"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",170,3,78,15,,17,10,"c632d9e089661d0a174627594ac9c4ab42edc9ee09152d2104e0ffa68ef951e7"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",157,3.1,33,17,,17,10,"c632d9e089661d0a174627594ac9c4ab42edc9ee09152d2104e0ffa68ef951e7"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",157,3,33,17,,17,10,"e4b1bce10917e0f2697209eb4a0ea639faad7b292478ab9325d25a0b26e9925c"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",169,3,75,15,,17,10,"e4b1bce10917e0f2697209eb4a0ea639faad7b292478ab9325d25a0b26e9925c"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"reading",156,3,37,15,,17,10,"add99c74cda63ad7e0b4a4cc1b69fce0f7245f5e7b3a8f5faa60566a287b86e7"
"fall","2014-2015","ReNEW Charter Schools","DTA",1,"math",165,3,56,15,,16,9,"add99c74cda63ad7e0b4a4cc1b69fce0f7245f5e7b3a8f5faa60566a287b86e7"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",174,3,37,15,,14,8,"4c931198406fdf4dc6a35b9d05df7a539037e527ebe1650487381223e6a56843"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"reading",177,3,53,14,,14,8,"4c931198406fdf4dc6a35b9d05df7a539037e527ebe1650487381223e6a56843"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",160,3,49,15,,17,10,"710bcb2d4e15a7d9d3bca0559e7a2cbdf9972f6b8d75c1e53f7982ea9a384d63"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",164,3,54,15,,16,9,"710bcb2d4e15a7d9d3bca0559e7a2cbdf9972f6b8d75c1e53f7982ea9a384d63"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",184,3.1,67,13,,12,7,"6f69f15b9b3462cf76994f96668209dbd82e50d9c1fd0dcd3af0111b245a3660"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",178,3.1,55,14,,13,8,"6f69f15b9b3462cf76994f96668209dbd82e50d9c1fd0dcd3af0111b245a3660"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",159,3,46,15,,17,10,"2cb338b7348192cd0b4a0d3eb1d0515ffcba10355183dd644eb76b192e4ae1e6"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",151,3,19,18,,18,10,"2cb338b7348192cd0b4a0d3eb1d0515ffcba10355183dd644eb76b192e4ae1e6"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",192,3.4,,,,,,"4bb33751e61e87d6b61e137f0ee193417f5344ca00fcf19cf506467d371b69f4"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",163,3,51,15,,16,9,"3e4c802bd790be6c9a5de04eb319a84db3fb701f1dc5faabeb349bd17740da3c"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",168,3.1,73,15,,17,10,"3e4c802bd790be6c9a5de04eb319a84db3fb701f1dc5faabeb349bd17740da3c"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",208,3.2,,,,,,"1ea4c79d3981c9339e201cf7280bb3f2c93368db436447d62d4e8eae9b303ab8"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",194,3.2,2,,,,,"935b974ca1d61a0343d66cdf6e687f611ba227220e336730b813ac8bfec43c2e"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",188,3.2,1,,,,,"4c9e466d3762cecf7863a098884349e8269977045634b84831179325260cc2ee"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",171,3.2,1,,,,,"b762f04e31d20e6db8fe14c3714b3080cb1c01efc1484201a36676e74cd94446"
"fall","2014-2015","ReNEW Charter Schools","AHS",12,"reading",208,3.4,,,,,,"195bab1abc37bd6748f967f44cbdbc93e862af682c2cea684179c4a776f7a271"
"fall","2014-2015","ReNEW Charter Schools","AHS",11,"reading",202,3.3,8,,,,,"cd973c4d031fc208a734f68adc92a8a161666e69aa6f47d4bbaf2d0475626d64"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"math",169,3,68,14,,15,9,"ba9abc4d5452a15c668434ed82df70c5e72a502987e377a62b454f5aeacfa601"
"fall","2014-2015","ReNEW Charter Schools","STA",1,"reading",168,3.1,73,15,,17,10,"ba9abc4d5452a15c668434ed82df70c5e72a502987e377a62b454f5aeacfa601"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"reading",200,3.4,94,10,,10,6,"5468c4c38e137e5ce2a4785cee4d5912e736a7f1dc513fde71417365eca584dd"
"fall","2014-2015","ReNEW Charter Schools","STA",2,"math",204,3.2,98,10,,10,6,"5468c4c38e137e5ce2a4785cee4d5912e736a7f1dc513fde71417365eca584dd"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"math",168,3.1,65,14,,15,9,"f4e6e033372454cff234107eccb9687595b449b31f75d253d177dc819d136fe7"
"fall","2014-2015","ReNEW Charter Schools","RCAA",1,"reading",162,3,55,15,,17,10,"f4e6e033372454cff234107eccb9687595b449b31f75d253d177dc819d136fe7"
"fall","2014-2015","ReNEW Charter Schools","AHS",10,"reading",183,3.1,1,3,,2,2,"9e1b2b6a91386eb66309a4cb5a70d1ff006c6147a40d0b393ff2cbcdfed95ec2"
"fall","2014-2015","ReNEW Charter Schools","DTA",2,"math",176,3.1,43,14,,13,8,"0680b7f343ceded43eb1c2da78b97a8aa53a3752761d1ba0efb9cf4a16cee868"
